Size Insertion Heap Quick RadixLSD InsertionSorted HeapSorted QuickSorted RadixLSDSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed
8100 58110834 1626476 906334 2103816 34118 1358476 282996 2101392 33775 108211 356467 207287 116148154 1319646 289187 2106383
8200 59734288 1651639 925972 2290567 34341 1381436 284086 2286071 34462 109928 365559 210633 119149912 1346685 289155 2301453
8300 60883352 1667350 928314 2309004 34637 1394424 286312 2310450 34609 111062 363049 211690 121703512 1345622 290385 2315505
8400 62169404 1683688 934907 2333846 35399 1412486 289402 2331034 35266 112575 367365 213977 124533500 1363015 295992 2339006
8500 63637232 1704823 948164 2365980 35427 1428850 293656 2358166 35402 113072 371122 216055 127166126 1381111 297444 2358749
8600 65221294 1731063 965797 2389889 35762 1453492 298021 2390837 35826 114624 375758 219202 130451592 1404248 302872 2393363
8700 66644099 1753554 971829 2416581 36217 1467705 298715 2412927 36168 115950 380443 221928 133240035 1415480 304267 2415179
8800 68244508 1772587 985939 2445112 36720 1487064 305671 2439416 36608 117443 388164 224176 136305565 1436172 310830 2446448
8900 69816874 1796992 998875 2476282 37315 1506844 311430 2467769 37007 118827 394642 226097 139424598 1453230 315864 2473491
9000 71327381 1818517 1011883 2505973 37447 1524957 314504 2498817 37539 119830 395591 228751 142621893 1473121 318885 2498295
9100 73026413 1842537 1028182 2534573 37952 1543715 319167 2526285 37939 121622 399049 232088 145966511 1488593 323067 2532878
9200 75649037 1875945 1046584 2582587 38619 1576217 323548 2569878 38570 123747 402439 235527 150181719 1518327 326511 2570387
9300 76263352 1883583 1061449 2604281 38740 1580818 323977 2586608 38978 124609 407281 236219 152287891 1522875 329635 2584787
9400 77991933 1910530 1059844 2615481 39194 1599102 331173 2614473 39140 125905 415833 239114 156002950 1549642 337736 2621437
9500 80593426 1952711 1085415 2658852 40030 1634451 339864 2653962 39992 127962 429129 244038 160367527 1569003 354976 2670095
9600 81530975 1961138 1090295 2672983 40607 1646403 342527 2668041 40036 128931 431726 245554 162809828 1583700 347862 2673483
9700 84089794 1990956 1111115 2712923 40591 1665000 345135 2722899 41132 129968 435735 248167 167395230 1608521 352928 2713623
9800 86590354 2017449 1130253 2761681 41187 1692386 351918 2755769 41263 135472 445655 255227 172868782 1640172 398900 2801958
9900 86762107 2027157 1127383 2751877 41292 1696730 354183 2757299 41435 132387 446865 252091 172994515 1637084 360864 2761685
10000 88187779 2044344 1134557 2781907 41941 1712355 356745 2773287 41611 133712 449898 254728 176152377 1653378 361729 2777921
