Size Insertion Heap Quick RadixLSD Hybrid InsertionSorted HeapSorted QuickSorted RadixLSDSorted HybridSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual HybridEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed HybridReversed
5600 27675340 1073611 602812 556611 552701 23384 912396 185351 553917 114233 23294 75088 235622 163465 135649 55225561 875378 188441 554491 117659
5700 28753184 1099455 617347 566595 567533 23792 934841 190241 567317 116300 23732 77024 242422 166915 137934 57396170 892210 193047 563572 119568
5800 29772484 1119773 629100 576195 578558 24325 949370 196576 578139 118306 24533 78019 249689 169977 140639 59430569 911313 198653 575779 121986
5900 30851349 1140901 640988 585422 589635 25107 969228 199877 585656 120987 24535 78892 253382 173007 143370 61438689 927359 201677 584596 123169
6000 31814086 1160908 651810 592651 597448 25583 981521 205411 593008 122055 24945 80172 256525 175109 144938 63451670 944608 208595 594837 125777
6100 32892392 1183823 661201 604872 608623 25414 1004207 207278 604592 123746 25487 81509 260482 178236 147822 65654500 962716 211384 602992 127396
6200 33928835 1202151 674477 615376 621364 25814 1018230 209913 612673 125596 25767 82820 264966 180981 149476 67695499 974442 214460 613267 129234
6300 35083750 1225491 687969 625087 632018 26265 1043919 214994 625809 128233 26196 84421 270668 183874 152345 70233852 996659 220130 627634 132116
6400 36088386 1246331 696797 636760 644834 26894 1053835 215780 633191 129208 26594 85444 275363 186799 154560 72072064 1008303 218677 630931 133380
6500 37236606 1264903 708193 644442 651962 27081 1069445 221523 642354 131222 27038 86895 280540 189478 156623 74380240 1027118 224688 641531 135458
6600 38357750 1288856 720023 655045 661855 27502 1088434 224092 652064 144186 27470 88279 283033 192532 171036 76715976 1044064 227952 651613 147982
6700 39575216 1309714 730799 663795 675005 28000 1105018 228187 663467 154786 27845 89606 289072 195681 183182 79030495 1064233 231869 661477 159297
6800 40725778 1331323 744020 673574 683883 28299 1121673 233692 671317 157033 28264 91077 298040 198451 185629 81364829 1079090 237376 671547 161343
6900 41983721 1350591 753551 683531 696207 28761 1140004 237080 681025 159270 28671 92138 301106 201316 188479 83803637 1097295 240615 680331 163640
7000 43341661 1382857 775418 695723 712213 29325 1162628 244042 694696 162815 29166 98048 308289 204455 191468 86623735 1146947 250078 697525 166101
7100 44806485 1408818 795239 713192 723387 30260 1185442 245295 708542 165056 30006 96126 309072 208773 195555 89536438 1156184 252808 710434 169877
7200 45653763 1418755 790831 713643 729563 30050 1195802 246489 711906 165647 29968 96141 310320 210003 196256 91251750 1148848 249989 713417 170281
7300 46960992 1442629 802125 724270 740970 30381 1211738 255992 721571 168454 30360 97514 317911 213192 198616 93766449 1168633 259603 721435 172302
7400 48528002 1470075 825072 737356 757369 30877 1236650 263067 734959 171202 30869 100171 327457 217062 203114 97103632 1191309 267658 735265 176145
7500 49705512 1490114 831733 747572 766227 31265 1250399 265277 740927 173279 31211 100245 334470 218687 204120 99311932 1206869 270515 743647 177029
7600 51203335 1513337 846807 754630 779367 31774 1272010 269072 753306 175175 31819 102255 336354 222752 208165 102618202 1227167 272820 755098 179637
7700 52764055 1542192 863631 769592 794460 32297 1295372 274104 770521 179364 32185 104087 342627 226744 210825 105721811 1245632 278122 765259 182912
7800 54049299 1573970 878971 785975 808103 32853 1310070 277864 776190 179606 32609 104942 346005 228827 215262 107730491 1262139 282556 777018 184875
7900 55607933 1588800 891339 789298 817929 33216 1329264 280581 789218 183400 33077 107632 351797 233680 216758 111281171 1291119 286101 787138 188015
8000 57258504 1624614 921950 798382 829654 33726 1354627 285527 801926 184439 34299 108392 354008 235416 219324 113988023 1300671 287423 807578 192832
8100 57922498 1621109 903515 802667 832876 33847 1352448 281750 801359 185493 33814 108249 357777 236792 220453 115729437 1312373 287952 803726 190878
8200 59199604 1642386 914060 814119 843847 34231 1370447 281387 810893 187340 34110 109629 364087 239012 222694 118418798 1325906 286427 812424 192308
8300 60657874 1666303 921859 824429 855288 34619 1392239 284275 821032 190110 34634 110848 362999 242071 224886 121233247 1346812 289874 822077 194633
8400 62214800 1685620 935780 834119 865459 34961 1408243 287435 830041 191478 34939 112192 367405 244801 227818 124181123 1362835 293748 830222 197011
8500 63699500 1706704 946952 844185 875923 35469 1427125 292909 839690 194535 35571 113770 372175 248290 231118 127175084 1380120 297919 840971 199151
8600 65136292 1728009 957462 854052 887059 35853 1444874 296557 849714 196073 35720 114756 375496 250542 233258 130125293 1400239 301823 850157 200865
8700 66732245 1752113 972096 862127 897905 36228 1463468 297739 859339 198145 36450 116552 381783 254117 237694 133237876 1417457 304249 862690 203994
8800 68183312 1774140 985597 873182 909953 36717 1483810 304606 870815 201103 36648 117695 387927 256948 238522 136284188 1433863 310618 869941 206197
8900 69845467 1795255 997836 883362 923968 37116 1501808 310445 879244 202909 36978 119019 393336 259290 241370 139394971 1450664 316547 879558 207860
9000 71619213 1822839 1016012 895047 939950 37705 1526091 313635 893212 205670 37477 120403 396727 262810 243999 143396756 1475960 320833 890843 210549
9100 73228580 1848252 1030188 901937 949062 37970 1546416 318553 920861 209830 37917 122063 399595 267037 246509 146703217 1490959 323756 904346 213987
9200 74585651 1866149 1036081 918652 958649 38655 1558241 318280 909889 209241 38268 122812 400452 268153 249591 148971916 1508326 323622 914576 215080
9300 76524972 1892260 1053497 925595 973936 38849 1583786 325450 922312 211773 39136 125345 409419 273727 252784 153135469 1529959 330393 925035 217768
9400 78042843 1914001 1059352 935449 980842 39172 1597523 330875 932177 215167 39134 125883 416647 275371 255398 155890169 1551927 338159 934641 219472
9500 80067308 1938116 1080165 947734 997463 40015 1619405 336459 941703 215535 39619 128744 424420 279133 257038 159524346 1566073 344491 948312 223295
9600 81696999 1965260 1095369 955177 1011752 40210 1640372 342743 954408 218352 40334 130645 432089 281891 259947 163288923 1583268 348776 961651 225164
9700 83282443 1987864 1101327 969271 1019324 40600 1656386 343878 964126 222029 40404 130625 435464 285365 264154 166376979 1600948 353135 969828 227097
9800 84855837 2005570 1113772 978389 1033050 40865 1677808 347992 972817 222923 41241 132174 442278 292350 268980 169545211 1619881 354394 975836 235144
9900 86415039 2026646 1123714 981740 1040705 41241 1707445 352433 979393 224899 41224 132362 444498 288919 268278 172578453 1632008 357949 982176 230313
10000 88099639 2047184 1134797 1166767 1053552 41822 1711403 354406 989604 226611 41612 133507 448839 291272 271280 176214629 1650472 360070 994044 232456
