Size Insertion Heap Quick RadixLSD InsertionSorted HeapSorted QuickSorted RadixLSDSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed
8800 69191490 1807413 1143446 872926 36847 1498360 739991 874427 36792 118966 412937 259003 138570022 1463361 741711 886084 
8900 70016613 1805565 1142372 879602 37027 1508956 742044 879635 37298 118559 414839 260177 140008049 1454326 737465 881078 
9000 71561350 1825341 1161527 893875 37464 1531703 748580 891158 37369 119862 416552 262452 142918954 1477161 744159 888203 
9100 73833154 1864899 1179270 904369 37952 1549247 756359 898942 38309 121356 418864 269155 146239570 1491359 751943 899487 
9200 74817756 1871859 1185719 910494 38212 1566382 769465 910104 38363 122584 421900 270382 149916512 1521827 761798 913590 
9300 76452815 1891830 1206418 922149 38759 1585349 773725 923339 38800 124037 428094 271923 152774683 1529026 773639 919417 
9400 78719991 1944364 1229711 942093 39393 1669172 804770 935255 39352 126532 442075 277939 157728097 1571199 792523 954238 
9500 80499296 1966264 1253108 947365 42617 1634141 797774 944562 39825 128382 451656 279028 161073572 1581695 797867 949825 
9600 84365427 2054359 1296420 978404 40649 1673402 821359 963909 43089 131656 483488 301310 169517486 1618987 828067 1003180 
9700 85960535 2053215 1281333 977534 41995 1695198 829420 993753 41667 133101 463886 296082 171314695 1669123 826797 976732 
9800 85425565 2018654 1272671 969604 41060 1678164 819610 971120 40811 131321 461439 287331 170407392 1636112 820414 970510 
9900 86532035 2027014 1284435 976664 41167 1696840 827222 975903 41337 132006 466044 289610 172953573 1637668 819833 977637 
10000 88383951 2050193 1295156 1135171 41704 1715092 835537 991320 41648 133638 471494 293438 176627341 1656710 831305 991838 
